c1, c2, w, penalty, epochs
0.601321,1.79865,1,329.594,600
intacia,nOpt,melhor_gap, melhor_fit, gap_medio, fit_medio, fobj_medio, dp, tempo(ms)
data\gk\gk01.dat, 0, 3.05364, 3651, 3.6918, 3626.97, 3626.97, 0.304727, 8147
data\gk\gk02.dat, 0, 2.476, 3860, 3.39144, 3823.77, 3823.77, 0.308104, 8589
data\gk\gk03.dat, 0, 2.93494, 5490, 3.4954, 5458.3, 5458.3, 0.233806, 14400
data\gk\gk04.dat, 0, 2.73973, 5609, 3.18305, 5583.43, 5583.43, 0.231461, 20431
data\gk\gk05.dat, 0, 2.87151, 7340, 3.51727, 7291.2, 7291.2, 0.231842, 19624
data\gk\gk06.dat, 0, 2.55474, 7476, 2.96837, 7444.27, 7444.27, 0.167394, 25833
data\gk\gk07.dat, 0, 3.32032, 18577, 3.69798, 18504.4, 18504.4, 0.145872, 51256
data\gk\gk08.dat, 0, 2.74381, 18290, 2.98734, 18244.2, 18244.2, 0.0909725, 71545
data\gk\gk09.dat, 0, 3.29345, 56172, 3.62096, 55981.8, 55981.8, 0.0874174, 193243
data\gk\gk10.dat, 0, 2.53081, 55844, 2.78557, 55698, 55698, 0.0792726, 258128
data\gk\gk11.dat, 0, 1.971, 93354, 2.16992, 93164.6, 93164.6, 0.0545749, 667082
PARAMETROS obtidos no MOD3---------------------
c1, c2, w, penalty, epochs
0.670175,0.935928,1,329.594,600
intacia,nOpt,melhor_gap, melhor_fit, gap_medio, fit_medio, fobj_medio, dp, tempo(ms)
data\gk\gk01.dat, 0, 2.09772, 3687, 3.43247, 3636.73, 3636.73, 0.512369, 8376
data\gk\gk02.dat, 0, 3.0571, 3837, 3.4984, 3819.53, 3819.53, 0.204813, 9656
data\gk\gk03.dat, 0, 2.89958, 5492, 3.40818, 5463.23, 5463.23, 0.24245, 14827
data\gk\gk04.dat, 0, 2.82643, 5604, 3.21311, 5581.7, 5581.7, 0.19928, 20885
data\gk\gk05.dat, 0, 3.12293, 7321, 3.56314, 7287.73, 7287.73, 0.162173, 19717
data\gk\gk06.dat, 0, 2.30709, 7495, 2.94751, 7445.87, 7445.87, 0.239959, 26522
data\gk\gk07.dat, 0, 3.2891, 18583, 3.73614, 18497.1, 18497.1, 0.122953, 53053
data\gk\gk08.dat, 0, 2.5896, 18319, 2.96909, 18247.6, 18247.6, 0.128153, 70051
data\gk\gk09.dat, 0, 3.39847, 56111, 3.59714, 55995.6, 55995.6, 0.0871729, 192840
data\gk\gk10.dat, 0, 2.64426, 55779, 2.78197, 55700.1, 55700.1, 0.0549456, 257117
data\gk\gk11.dat, 0, 2.04555, 93283, 2.17828, 93156.6, 93156.6, 0.0384531, 673198
