c1, c2, w, penalty, epochs
0.601321,1.79865,1,329.594,600
intacia,nOpt,melhor_gap, melhor_fit, gap_medio, fit_medio, fobj_medio, dp, tempo(ms)
data\sac94\pb\pb1.dat, 0, 0.517799, 3074, 1.0507, 3057.53, 3057.53, 0.509695, 1303
data\sac94\pb\pb2.dat, 0, 1.28688, 3145, 3.19104, 3084.33, 3084.33, 0.935298, 1696
data\sac94\pb\pb4.dat, 17, 0, 95168, 0.578276, 94617.7, 94617.7, 1.07662, 1352
data\sac94\pb\pb5.dat, 22, 0, 2139, 0.384915, 2130.77, 2130.77, 0.771004, 1298
data\sac94\pb\pb6.dat, 7, 0, 776, 5.63144, 732.3, 732.3, 4.45588, 3827
data\sac94\pb\pb7.dat, 1, 0, 1035, 2.76651, 1006.37, 1006.37, 2.26569, 3744

c1, c2, w, penalty, epochs
0.670175,0.935928,1,329.594,600
intacia,nOpt,melhor_gap, melhor_fit, gap_medio, fit_medio, fobj_medio, dp, tempo(ms)
data\sac94\pb\pb1.dat, 0, 0.517799, 3074, 0.943905, 3060.83, 3060.83, 0.569253, 1322
data\sac94\pb\pb2.dat, 0, 0.659134, 3165, 3.06131, 3088.47, 3088.47, 1.20143, 1726
data\sac94\pb\pb4.dat, 25, 0, 95168, 0.334146, 94850, 94850, 0.917994, 1515
data\sac94\pb\pb5.dat, 24, 0, 2139, 0.283622, 2132.93, 2132.93, 0.711159, 1297
data\sac94\pb\pb6.dat, 1, 0, 776, 4.91838, 737.833, 737.833, 3.7962, 3789
data\sac94\pb\pb7.dat, 1, 0, 1035, 2.33816, 1010.8, 1010.8, 1.6145, 3892
