c1, c2, w, penalty, epochs
0.601321,1.79865,1,329.594,600
intacia,nOpt,melhor_gap, melhor_fit, gap_medio, fit_medio, fobj_medio, dp, tempo(ms)
data\sac94\weish\weish01.dat, 19, 0, 4554, 0.387937, 4536.33, 4536.33, 0.649457, 1489
data\sac94\weish\weish02.dat, 0, 0.462963, 4515, 0.752499, 4501.87, 4501.87, 0.390518, 1393
data\sac94\weish\weish03.dat, 17, 0, 4115, 0.443094, 4096.77, 4096.77, 0.701202, 1490
data\sac94\weish\weish04.dat, 24, 0, 4561, 0.21048, 4551.4, 4551.4, 0.431004, 1926
data\sac94\weish\weish05.dat, 25, 0, 4514, 0.259932, 4502.27, 4502.27, 0.614967, 1622
data\sac94\weish\weish06.dat, 6, 0, 5557, 0.822986, 5511.27, 5511.27, 0.75918, 1906
data\sac94\weish\weish07.dat, 4, 0, 5567, 1.08017, 5506.87, 5506.87, 0.829127, 1886
data\sac94\weish\weish08.dat, 5, 0, 5605, 0.666072, 5567.67, 5567.67, 0.690793, 2307
data\sac94\weish\weish09.dat, 12, 0, 5246, 0.824755, 5202.73, 5202.73, 1.11216, 2111
data\sac94\weish\weish10.dat, 4, 0, 6339, 1.40348, 6250.03, 6250.03, 1.23277, 2756
data\sac94\weish\weish11.dat, 2, 0, 5643, 2.91984, 5478.23, 5478.23, 1.91449, 2813
data\sac94\weish\weish12.dat, 2, 0, 6339, 2.36788, 6188.9, 6188.9, 1.84773, 2715
data\sac94\weish\weish13.dat, 8, 0, 6159, 1.71186, 6053.57, 6053.57, 1.48969, 2587
data\sac94\weish\weish14.dat, 2, 0, 6954, 4.1463, 6665.67, 6665.67, 2.5158, 3064
data\sac94\weish\weish15.dat, 0, 0.374032, 7458, 3.14097, 7250.87, 7250.87, 1.89177, 3761
data\sac94\weish\weish16.dat, 1, 0, 7289, 2.82572, 7083.03, 7083.03, 1.64689, 3517
data\sac94\weish\weish17.dat, 0, 0.278003, 8609, 2.69161, 8400.63, 8400.63, 1.22149, 3254
data\sac94\weish\weish18.dat, 0, 0.0730689, 9573, 2.59151, 9331.73, 9331.73, 1.91227, 4162
data\sac94\weish\weish19.dat, 1, 0, 7698, 3.9638, 7392.87, 7392.87, 2.45261, 4129
data\sac94\weish\weish20.dat, 0, 0.338624, 9418, 3.59859, 9109.93, 9109.93, 2.18969, 4418
data\sac94\weish\weish21.dat, 1, 0, 9074, 4.31489, 8682.47, 8682.47, 2.11816, 4235
data\sac94\weish\weish22.dat, 0, 0.760031, 8879, 7.02433, 8318.53, 8318.53, 3.8056, 5053
data\sac94\weish\weish23.dat, 1, 0, 8344, 6.47331, 7803.87, 7803.87, 3.28564, 5859
data\sac94\weish\weish24.dat, 0, 1.12524, 10105, 5.18395, 9690.2, 9690.2, 2.23752, 4894
data\sac94\weish\weish25.dat, 0, 0.311903, 9908, 5.12728, 9429.4, 9429.4, 2.77646, 5226
data\sac94\weish\weish26.dat, 0, 1.03297, 9485, 7.20785, 8893.2, 8893.2, 3.91928, 6273
data\sac94\weish\weish27.dat, 1, 0, 9819, 7.08932, 9122.9, 9122.9, 4.2134, 5729
data\sac94\weish\weish28.dat, 1, 0, 9492, 6.90266, 8836.8, 8836.8, 4.40143, 5693
data\sac94\weish\weish29.dat, 1, 0, 9410, 6.96174, 8754.9, 8754.9, 4.39339, 5656
data\sac94\weish\weish30.dat, 0, 0.402109, 11146, 6.50702, 10462.8, 10462.8, 3.07578, 5680

c1, c2, w, penalty, epochs
0.670175,0.935928,1,329.594,600
intacia,nOpt,melhor_gap, melhor_fit, gap_medio, fit_medio, fobj_medio, dp, tempo(ms)
data\sac94\weish\weish01.dat, 26, 0, 4554, 0.223247, 4543.83, 4543.83, 0.569266, 1429
data\sac94\weish\weish02.dat, 0, 0.462963, 4515, 0.71649, 4503.5, 4503.5, 0.351388, 1554
data\sac94\weish\weish03.dat, 16, 0, 4115, 0.36533, 4099.97, 4099.97, 0.498641, 1575
data\sac94\weish\weish04.dat, 30, 0, 4561, 0, 4561, 4561, 0, 1548
data\sac94\weish\weish05.dat, 29, 0, 4514, 0.0465219, 4511.9, 4511.9, 0.250528, 1475
data\sac94\weish\weish06.dat, 4, 0, 5557, 0.822986, 5511.27, 5511.27, 0.705988, 1984
data\sac94\weish\weish07.dat, 9, 0, 5567, 1.04784, 5508.67, 5508.67, 0.994111, 2064
data\sac94\weish\weish08.dat, 7, 0, 5605, 0.752304, 5562.83, 5562.83, 0.792641, 2204
data\sac94\weish\weish09.dat, 15, 0, 5246, 0.630322, 5212.93, 5212.93, 0.76312, 2209
