c1, c2, w, penalty, epochs
0.670175,0.935928,1,0,600
intacia,nOpt,melhor_gap, melhor_fit, gap_medio, fit_medio, fobj_medio, dp, tempo(ms)
data\gk\gk01.dat, 0, 2.70844, 3664, 3.42627, 3636.97, 3636.97, 0.350698, 8235
data\gk\gk02.dat, 0, 1.66751, 3892, 3.28364, 3828.03, 3828.03, 0.491884, 8667
data\gk\gk03.dat, 0, 2.81117, 5497, 3.3681, 5465.5, 5465.5, 0.201987, 14874
data\gk\gk04.dat, 0, 2.44495, 5626, 3.08421, 5589.13, 5589.13, 0.204276, 21567
data\gk\gk05.dat, 0, 2.92444, 7336, 3.46125, 7295.43, 7295.43, 0.18303, 18629
data\gk\gk06.dat, 0, 1.65537, 7545, 2.82543, 7455.23, 7455.23, 0.270741, 25749
data\gk\gk07.dat, 0, 2.83633, 18670, 3.60638, 18522, 18522, 0.241366, 52155
data\gk\gk08.dat, 0, 2.69063, 18300, 2.9464, 18251.9, 18251.9, 0.0994553, 69007
data\gk\gk09.dat, 0, 3.44495, 56084, 3.60977, 55988.3, 55988.3, 0.0516177, 186082
data\gk\gk10.dat, 0, 2.60411, 55802, 2.78121, 55700.5, 55700.5, 0.0664435, 247033
data\gk\gk11.dat, 0, 2.0739, 93256, 2.1695, 93165, 93165, 0.0376494, 646422
