c1, c2, w, penalty, epochs
0.670175,0.935928,1,0,600
intacia,nOpt,melhor_gap, melhor_fit, gap_medio, fit_medio, fobj_medio, dp, tempo(ms)
data\sac94\weish\weish01.dat, 20, 0, 4554, 0.450886, 4533.47, 4533.47, 0.753384, 1431
data\sac94\weish\weish02.dat, 13, 0, 4536, 0.245444, 4524.87, 4524.87, 0.412901, 1470
data\sac94\weish\weish03.dat, 19, 0, 4115, 0.407452, 4098.23, 4098.23, 0.645052, 1452
data\sac94\weish\weish04.dat, 27, 0, 4561, 0.0877001, 4557, 4557, 0.274778, 1765
data\sac94\weish\weish05.dat, 30, 0, 4514, 0, 4514, 4514, 0, 1600
data\sac94\weish\weish06.dat, 6, 0, 5557, 0.763601, 5514.57, 5514.57, 0.75018, 1822
data\sac94\weish\weish07.dat, 8, 0, 5567, 1.05742, 5508.13, 5508.13, 1.12192, 1837
data\sac94\weish\weish08.dat, 4, 0, 5605, 0.836753, 5558.1, 5558.1, 0.733016, 1815
data\sac94\weish\weish09.dat, 15, 0, 5246, 0.5725, 5215.97, 5215.97, 0.684938, 2021
data\sac94\weish\weish10.dat, 1, 0, 6339, 2.51354, 6179.67, 6179.67, 1.62312, 2557
data\sac94\weish\weish11.dat, 2, 0, 5643, 2.45555, 5504.43, 5504.43, 1.8659, 2502
data\sac94\weish\weish12.dat, 0, 0.0157754, 6338, 2.64763, 6171.17, 6171.17, 1.83502, 2504
data\sac94\weish\weish13.dat, 7, 0, 6159, 2.08475, 6030.6, 6030.6, 1.93403, 2645
data\sac94\weish\weish14.dat, 3, 0, 6954, 2.67951, 6767.67, 6767.67, 2.42639, 2999
data\sac94\weish\weish15.dat, 2, 0, 7486, 2.56078, 7294.3, 7294.3, 1.73029, 2970
data\sac94\weish\weish16.dat, 0, 0.0274386, 7287, 1.92162, 7148.93, 7148.93, 1.53558, 3069
data\sac94\weish\weish17.dat, 2, 0, 8633, 2.18464, 8444.4, 8444.4, 1.69758, 3055
data\sac94\weish\weish18.dat, 0, 0.344468, 9547, 3.7366, 9222.03, 9222.03, 2.43637, 3982
data\sac94\weish\weish19.dat, 0, 0.168875, 7685, 4.56396, 7346.67, 7346.67, 3.10902, 3939
data\sac94\weish\weish20.dat, 1, 0, 9450, 3.61164, 9108.7, 9108.7, 2.36281, 3954
data\sac94\weish\weish21.dat, 1, 0, 9074, 4.62567, 8654.27, 8654.27, 2.14773, 3877
data\sac94\weish\weish22.dat, 1, 0, 8947, 6.86077, 8333.17, 8333.17, 4.22872, 4556
data\sac94\weish\weish23.dat, 0, 0.767018, 8280, 7.2699, 7737.4, 7737.4, 3.36642, 4617
data\sac94\weish\weish24.dat, 0, 1.35029, 10082, 4.9501, 9714.1, 9714.1, 2.30186, 4596
data\sac94\weish\weish25.dat, 1, 0, 9939, 5.3939, 9402.9, 9402.9, 2.88732, 4676
data\sac94\weish\weish26.dat, 0, 0.33389, 9552, 9.6362, 8660.47, 8660.47, 3.93807, 5626
data\sac94\weish\weish27.dat, 0, 0.998065, 9721, 9.57599, 8878.73, 8878.73, 4.39743, 5523
data\sac94\weish\weish28.dat, 0, 0.242309, 9469, 8.67819, 8668.27, 8668.27, 4.3412, 5592
data\sac94\weish\weish29.dat, 1, 0, 9410, 9.05313, 8558.1, 8558.1, 3.75403, 5547
data\sac94\weish\weish30.dat, 0, 0.29488, 11158, 6.04355, 10514.7, 10514.7, 3.35307, 5522
