c1, c2, w, penalty, epochs
0.601321,1.79865,1,0,600
intacia,nOpt,melhor_gap, melhor_fit, gap_medio, fit_medio, fobj_medio, dp, tempo(ms)
data\gk\gk01.dat, 0, 1.9384, 3693, 3.42627, 3636.97, 3636.97, 0.432447, 10319
data\gk\gk02.dat, 0, 1.238, 3909, 3.1649, 3832.73, 3832.73, 0.582306, 10545
data\gk\gk03.dat, 0, 2.72277, 5502, 3.41879, 5462.63, 5462.63, 0.252587, 19739
data\gk\gk04.dat, 0, 2.35825, 5631, 3.11543, 5587.33, 5587.33, 0.222211, 27322
data\gk\gk05.dat, 0, 3.17586, 7317, 3.50139, 7292.4, 7292.4, 0.163844, 24135
data\gk\gk06.dat, 0, 2.48957, 7481, 2.93491, 7446.83, 7446.83, 0.185623, 34500
data\gk\gk07.dat, 0, 3.37237, 18567, 3.65739, 18512.2, 18512.2, 0.138715, 70346
data\gk\gk08.dat, 0, 2.61087, 18315, 2.92743, 18255.5, 18255.5, 0.133627, 91550
data\gk\gk09.dat, 0, 3.50349, 56050, 3.60334, 55992, 55992, 0.0567437, 256656
data\gk\gk10.dat, 0, 2.39641, 55921, 2.77673, 55703.1, 55703.1, 0.0897206, 344540
data\gk\gk11.dat, 0, 2.0739, 93256, 2.17898, 93155.9, 93155.9, 0.0397793, 886231
