c1, c2, w, penalty, epochs
0.601321,1.79865,1,0,600
intacia,nOpt,melhor_gap, melhor_fit, gap_medio, fit_medio, fobj_medio, dp, tempo(ms)
data\sac94\weish\weish01.dat, 23, 0, 4554, 0.147123, 4547.3, 4547.3, 0.340473, 1668
data\sac94\weish\weish02.dat, 12, 0, 4536, 0.365226, 4519.43, 4519.43, 0.455117, 1653
data\sac94\weish\weish03.dat, 20, 0, 4115, 0.338599, 4101.07, 4101.07, 0.542631, 1668
data\sac94\weish\weish04.dat, 30, 0, 4561, 0, 4561, 4561, 0, 1686
data\sac94\weish\weish05.dat, 30, 0, 4514, 0, 4514, 4514, 0, 1720
data\sac94\weish\weish06.dat, 4, 0, 5557, 0.868574, 5508.73, 5508.73, 0.581, 2046
data\sac94\weish\weish07.dat, 8, 0, 5567, 0.953835, 5513.9, 5513.9, 1.05601, 2061
data\sac94\weish\weish08.dat, 3, 0, 5605, 0.764793, 5562.13, 5562.13, 0.95161, 2197
data\sac94\weish\weish09.dat, 10, 0, 5246, 0.867963, 5200.47, 5200.47, 1.13287, 2295
data\sac94\weish\weish10.dat, 4, 0, 6339, 1.72319, 6229.77, 6229.77, 1.35018, 2981
data\sac94\weish\weish11.dat, 4, 0, 5643, 2.97655, 5475.03, 5475.03, 2.15551, 3141
data\sac94\weish\weish12.dat, 3, 0, 6339, 2.07919, 6207.2, 6207.2, 1.92299, 3065
data\sac94\weish\weish13.dat, 4, 0, 6159, 2.20599, 6023.13, 6023.13, 1.25936, 3276
data\sac94\weish\weish14.dat, 1, 0, 6954, 3.37983, 6718.97, 6718.97, 1.98035, 3704
data\sac94\weish\weish15.dat, 2, 0, 7486, 2.2758, 7315.63, 7315.63, 1.55457, 3652
data\sac94\weish\weish16.dat, 2, 0, 7289, 2.15805, 7131.7, 7131.7, 1.26506, 3910
data\sac94\weish\weish17.dat, 0, 0.104251, 8624, 1.83907, 8474.23, 8474.23, 1.62974, 3771
data\sac94\weish\weish18.dat, 0, 0.501044, 9532, 4.04001, 9192.97, 9192.97, 1.79971, 5089
data\sac94\weish\weish19.dat, 1, 0, 7698, 4.73673, 7333.37, 7333.37, 2.87716, 4986
data\sac94\weish\weish20.dat, 0, 0.179894, 9433, 4.55591, 9019.47, 9019.47, 2.61656, 5075
data\sac94\weish\weish21.dat, 2, 0, 9074, 3.21394, 8782.37, 8782.37, 2.02442, 5186
data\sac94\weish\weish22.dat, 0, 0.2906, 8921, 5.7021, 8436.83, 8436.83, 3.0634, 5925
data\sac94\weish\weish23.dat, 1, 0, 8344, 7.06935, 7754.13, 7754.13, 3.87523, 5473
data\sac94\weish\weish24.dat, 1, 0, 10220, 4.5499, 9755, 9755, 2.67718, 5512
data\sac94\weish\weish25.dat, 1, 0, 9939, 4.83717, 9458.23, 9458.23, 2.86226, 5527
data\sac94\weish\weish26.dat, 0, 1.02254, 9486, 7.44122, 8870.83, 8870.83, 4.0048, 7376
data\sac94\weish\weish27.dat, 0, 1.37489, 9684, 8.22147, 9011.73, 9011.73, 3.98571, 7168
data\sac94\weish\weish28.dat, 0, 1.33797, 9365, 9.03954, 8633.97, 8633.97, 3.11667, 7202
data\sac94\weish\weish29.dat, 0, 0.839532, 9331, 7.37372, 8716.13, 8716.13, 3.61018, 7512
data\sac94\weish\weish30.dat, 0, 0.679117, 11115, 4.86909, 10646.1, 10646.1, 2.49063, 6948
