Sem restricao da velocidade, w dinamico. penalidade NAo dinamica.

c1, c2, w, penalty, epochs
0.601321,1.7986,1,329.594,600
intacia, melhor_gap, melhor_fit, gap_medio, fit_medio, fobj_medio, dp, tempo(ms)
data\OR10x100-0.25_1.dat, 4.77801, 21962, 10.3339, 20680.6, 20680.6, 2.51874, 8253
data\OR10x100-0.25_10.dat, 4.68681, 21638, 10.7422, 20263.3, 20263.3, 2.573, 8558
data\OR10x100-0.25_2.dat, 5.99535, 21434, 11.8169, 20106.6, 20106.6, 2.3106, 8482
data\OR10x100-0.25_3.dat, 6.19945, 20759, 11.2137, 19649.3, 19649.3, 2.65218, 8253
data\OR10x100-0.25_4.dat, 2.57773, 22185, 9.08543, 20703.1, 20703.1, 1.80796, 7984
data\OR10x100-0.25_5.dat, 7.23045, 21106, 11.5419, 20125.1, 20125.1, 1.78407, 8559
data\OR10x100-0.25_6.dat, 3.4728, 21986, 10.2804, 20435.4, 20435.4, 2.56399, 7957
data\OR10x100-0.25_7.dat, 8.01829, 20121, 12.1256, 19222.5, 19222.5, 2.13452, 8573
data\OR10x100-0.25_8.dat, 4.74928, 21560, 10.772, 20196.8, 20196.8, 2.45915, 7355
data\OR10x100-0.25_9.dat, 6.86331, 20966, 10.8264, 20073.9, 20073.9, 1.75393, 7366
data\OR10x100-0.50_1.dat, 3.26851, 40042, 8.03978, 38066.9, 38066.9, 1.48526, 7601
data\OR10x100-0.50_10.dat, 1.8128, 40460, 7.47575, 38126.5, 38126.5, 1.90464, 7727
data\OR10x100-0.50_2.dat, 4.39732, 40482, 8.01137, 38951.7, 38951.7, 1.27966, 7264
data\OR10x100-0.50_3.dat, 3.33483, 40987, 7.90036, 39051.2, 39051.2, 1.78631, 7620
data\OR10x100-0.50_4.dat, 3.12116, 44200, 7.50029, 42202.1, 42202.1, 1.52969, 8089
data\OR10x100-0.50_5.dat, 3.55267, 40396, 7.61285, 38695.4, 38695.4, 1.76991, 7772
data\OR10x100-0.50_6.dat, 3.65391, 41424, 7.91464, 39592.1, 39592.1, 1.58196, 7824
data\OR10x100-0.50_7.dat, 5.11085, 41347, 7.86754, 40145.8, 40145.8, 1.47776, 7552
data\OR10x100-0.50_8.dat, 4.78008, 40916, 8.6223, 39265, 39265, 1.49191, 7333
data\OR10x100-0.50_9.dat, 2.85701, 41006, 7.69489, 38963.8, 38963.8, 2.10413, 7067
data\OR10x100-0.75_1.dat, 3.91111, 55131, 5.97589, 53946.3, 53946.3, 0.899449, 7599
data\OR10x100-0.75_10.dat, 1.52062, 59711, 5.97018, 57013.1, 57013.1, 1.62668, 7395
data\OR10x100-0.75_2.dat, 2.44328, 57537, 4.97247, 56045.3, 56045.3, 1.163, 7969
data\OR10x100-0.75_3.dat, 1.03098, 57789, 4.84721, 55560.7, 55560.7, 1.48229, 7513
data\OR10x100-0.75_4.dat, 1.11836, 61273, 4.57654, 59130.1, 59130.1, 1.47832, 7883
data\OR10x100-0.75_5.dat, 2.16437, 59487, 5.76463, 57297.9, 57297.9, 1.28631, 7842
data\OR10x100-0.75_6.dat, 0.984749, 60832, 5.56445, 58018.4, 58018.4, 1.25114, 7695
data\OR10x100-0.75_7.dat, 1.42611, 55573, 4.7044, 53724.8, 53724.8, 1.41545, 7690
data\OR10x100-0.75_8.dat, 0.83346, 58896, 5.24619, 56275.2, 56275.2, 1.72083, 7101
