c1, c2, w, penalty, epochs
0.670175,0.935928,1,0,600
intacia, melhor_gap, melhor_fit, gap_medio, fit_medio, fobj_medio, dp, tempo(ms)
data\OR10x100-0.25_1.dat, 5.46306, 21804, 10.8991, 20550.2, 20550.2, 2.46608, 6922
data\OR10x100-0.25_10.dat, 5.25504, 21509, 11.5284, 20084.8, 20084.8, 2.42564, 6890
data\OR10x100-0.25_2.dat, 2.07008, 22329, 11.2059, 20245.9, 20245.9, 3.06369, 7135
data\OR10x100-0.25_3.dat, 6.6739, 20654, 11.1548, 19662.3, 19662.3, 2.34055, 7352
data\OR10x100-0.25_4.dat, 4.11031, 21836, 9.2823, 20658.2, 20658.2, 2.59488, 6947
data\OR10x100-0.25_5.dat, 6.08325, 21367, 11.4562, 20144.6, 20144.6, 2.46474, 6668
data\OR10x100-0.25_6.dat, 4.78553, 21687, 10.2441, 20443.7, 20443.7, 2.73792, 7079
data\OR10x100-0.25_7.dat, 5.92457, 20579, 12.4285, 19156.3, 19156.3, 2.69778, 7241
data\OR10x100-0.25_8.dat, 5.92004, 21295, 11.2775, 20082.3, 20082.3, 2.57232, 6654
data\OR10x100-0.25_9.dat, 3.84257, 21646, 11.5313, 19915.2, 19915.2, 3.04004, 7128
data\OR10x100-0.50_1.dat, 2.73946, 40261, 7.45412, 38309.4, 38309.4, 1.81863, 6978
data\OR10x100-0.50_10.dat, 4.97731, 39156, 8.05567, 37887.5, 37887.5, 1.26268, 7387
data\OR10x100-0.50_2.dat, 2.60722, 41240, 7.1508, 39316.1, 39316.1, 1.66926, 7331
data\OR10x100-0.50_3.dat, 2.24523, 41449, 7.55533, 39197.5, 39197.5, 1.4968, 6735
data\OR10x100-0.50_4.dat, 1.58031, 44903, 7.85887, 42038.5, 42038.5, 1.88751, 6944
data\OR10x100-0.50_5.dat, 1.71426, 41166, 7.79566, 38618.9, 38618.9, 1.6605, 7095
data\OR10x100-0.50_6.dat, 2.3933, 41966, 7.97883, 39564.5, 39564.5, 1.78401, 7280
data\OR10x100-0.50_7.dat, 2.4051, 42526, 7.55764, 40280.8, 40280.8, 1.62832, 7146
data\OR10x100-0.50_8.dat, 1.07051, 42510, 8.11365, 39483.6, 39483.6, 2.19057, 7183
data\OR10x100-0.50_9.dat, 4.47977, 40321, 8.0016, 38834.4, 38834.4, 1.37154, 7126
data\OR10x100-0.75_1.dat, 1.74292, 56375, 5.93202, 53971.5, 53971.5, 1.71473, 6868
data\OR10x100-0.75_10.dat, 2.32217, 59225, 6.19954, 56874, 56874, 1.29288, 7119
data\OR10x100-0.75_2.dat, 1.72946, 57958, 5.27762, 55865.4, 55865.4, 1.2578, 7317
data\OR10x100-0.75_3.dat, 1.53448, 57495, 5.19601, 55357, 55357, 1.48571, 7033
data\OR10x100-0.75_4.dat, 1.55246, 61004, 4.95944, 58892.8, 58892.8, 1.25167, 7215
data\OR10x100-0.75_5.dat, 1.25652, 60039, 5.2697, 57598.9, 57598.9, 1.91458, 6735
data\OR10x100-0.75_6.dat, 0.636424, 61046, 5.12878, 58286, 58286, 1.40021, 7014
data\OR10x100-0.75_7.dat, 2.27752, 55093, 5.31127, 53382.7, 53382.7, 1.15791, 7199
data\OR10x100-0.75_8.dat, 2.43134, 57947, 5.56437, 56086.3, 56086.3, 1.18773, 7049
data\OR10x100-0.75_9.dat, 2.72735, 58563, 5.25809, 57039.4, 57039.4, 1.19478, 7087
data\OR10x250-0.25_1.dat, 12.1919, 51971, 15.7109, 49888.2, 49888.2, 1.86598, 20104
