c1, c2, w, penalty, epochs
0.601321,1.7986,1,329.594,600
intacia, melhor_gap, melhor_fit, gap_medio, fit_medio, fobj_medio, dp, tempo(ms)
data\OR10x100-0.25_1.dat, 9.8812, 20785, 20.2736, 18388.1, 18388.1, 3.26782, 7949
data\OR10x100-0.25_10.dat, 4.33001, 21719, 18.2664, 18555.2, 18555.2, 5.91728, 7589
data\OR10x100-0.25_2.dat, 9.63116, 20605, 19.8554, 18273.8, 18273.8, 3.93053, 7821
data\OR10x100-0.25_3.dat, 10.9394, 19710, 18.5971, 18015.3, 18015.3, 4.21054, 8078
data\OR10x100-0.25_4.dat, 4.85684, 21666, 17.0052, 18899.6, 18899.6, 3.78594, 7636
data\OR10x100-0.25_5.dat, 6.2283, 21334, 19.8211, 18241.5, 18241.5, 4.40838, 7892
data\OR10x100-0.25_6.dat, 6.9939, 21184, 18.0354, 18669.1, 18669.1, 4.65437, 8125
data\OR10x100-0.25_7.dat, 13.536, 18914, 21.4674, 17179, 17179, 3.16166, 8128
data\OR10x100-0.25_8.dat, 10.2099, 20324, 18.1324, 18530.7, 18530.7, 3.60574, 7843
data\OR10x100-0.25_9.dat, 10.0884, 20240, 19.9113, 18028.8, 18028.8, 4.6489, 7621
data\OR10x100-0.50_1.dat, 3.48834, 39951, 8.77272, 37763.5, 37763.5, 1.49604, 8441
data\OR10x100-0.50_10.dat, 4.21773, 39469, 8.97145, 37510.1, 37510.1, 1.12362, 8708
data\OR10x100-0.50_2.dat, 3.04175, 41056, 8.28036, 38837.8, 38837.8, 1.90628, 8183
data\OR10x100-0.50_3.dat, 3.93859, 40731, 9.05615, 38561.1, 38561.1, 1.21262, 8627
data\OR10x100-0.50_4.dat, 4.19078, 43712, 9.17974, 41435.8, 41435.8, 1.06177, 8717
data\OR10x100-0.50_5.dat, 2.90803, 40666, 8.95099, 38135, 38135, 1.53585, 8484
data\OR10x100-0.50_6.dat, 5.17037, 40772, 9.2065, 39036.7, 39036.7, 1.22521, 8579
data\OR10x100-0.50_7.dat, 2.96048, 42284, 8.91518, 39689.3, 39689.3, 1.9028, 8524
data\OR10x100-0.50_8.dat, 8.02653, 39521, 9.87224, 38727.9, 38727.9, 0.8123, 8594
data\OR10x100-0.50_9.dat, 7.81294, 38914, 9.41265, 38238.7, 38238.7, 0.614787, 8661
data\OR10x100-0.75_1.dat, 1.5634, 56478, 6.89516, 53418.9, 53418.9, 2.00315, 8088
data\OR10x100-0.75_10.dat, 1.63607, 59641, 7.28734, 56214.5, 56214.5, 1.43116, 8322
data\OR10x100-0.75_2.dat, 1.56499, 58055, 6.54233, 55119.5, 55119.5, 1.38068, 8282
data\OR10x100-0.75_3.dat, 4.84321, 55563, 7.04201, 54279.1, 54279.1, 0.72983, 8716
data\OR10x100-0.75_4.dat, 1.4282, 61081, 6.8161, 57742.3, 57742.3, 1.28931, 8250
data\OR10x100-0.75_5.dat, 3.45049, 58705, 6.88694, 56615.5, 56615.5, 1.59227, 8096
data\OR10x100-0.75_6.dat, 2.23644, 60063, 6.84034, 57234.5, 57234.5, 1.32023, 7941
data\OR10x100-0.75_7.dat, 2.22254, 55124, 6.56503, 52675.8, 52675.8, 1.31227, 8583
data\OR10x100-0.75_8.dat, 3.11158, 57543, 6.91042, 55286.8, 55286.8, 1.42644, 7380
data\OR10x100-0.75_9.dat, 3.66083, 58001, 7.21208, 55863, 55863, 1.35902, 8138
data\OR10x250-0.25_1.dat, 7.14853, 54956, 21.21, -1.99916e+07, 46633.4, 4.66194, 22305
data\OR10x250-0.25_10.dat, 19.2947, 47784, 23.7732, -1.53265e+07, 45132.4, 3.35311, 22674
data\OR10x250-0.25_2.dat, 10.9865, 52323, 22.7268, -1.38107e+07, 45422, 4.1401, 22986
data\OR10x250-0.25_3.dat, 8.07787, 53404, 23.0718, -1.30565e+07, 44693, 5.34451, 22650
data\OR10x250-0.25_4.dat, 10.5475, 54566, 22.5587, -1.44787e+07, 47239.2, 5.15568, 23797
data\OR10x250-0.25_5.dat, 13.5819, 50202, 21.4497, -1.5438e+07, 45631.5, 3.39627, 23307
data\OR10x250-0.25_6.dat, 16.2332, 49275, 22.6364, -8.52651e+06, 45508.4, 3.28042, 22537
data\OR10x250-0.25_7.dat, 4.65726, 55970, 21.0848, -1.69026e+07, 46326.4, 6.01121, 22399
data\OR10x250-0.25_8.dat, 9.83949, 53137, 21.1958, -1.77122e+07, 46444, 4.36837, 22551
data\OR10x250-0.25_9.dat, 3.87459, 57086, 22.7084, -1.82738e+07, 45901.1, 5.6493, 22709
data\OR10x250-0.50_1.dat, 7.22458, 102900, 11.0222, 98687.9, 98687.9, 0.969173, 24210
data\OR10x250-0.50_10.dat, 9.54433, 96537, 11.9397, 93980.6, 93980.6, 0.849346, 22130
data\OR10x250-0.50_2.dat, 8.87074, 99073, 11.4452, 96274.1, 96274.1, 0.920073, 22111
data\OR10x250-0.50_3.dat, 6.33882, 102027, 11.4472, 96462.4, 96462.4, 1.47147, 23694
data\OR10x250-0.50_4.dat, 7.54501, 101780, 11.4365, 97496, 97496, 0.881772, 23903
data\OR10x250-0.50_5.dat, 8.7708, 98970, 11.2296, 96302.6, 96302.6, 0.662907, 24061
data\OR10x250-0.50_6.dat, 8.95304, 100921, 11.5114, 98085.2, 98085.2, 0.723507, 23909
data\OR10x250-0.50_7.dat, 2.16258, 103783, 11.7849, 93575.9, 93575.9, 1.82227, 23615
data\OR10x250-0.50_8.dat, 10.5243, 95458, 11.9519, 93935, 93935, 0.486285, 23797
data\OR10x250-0.50_9.dat, 2.43014, 107160, 11.3773, 97333.5, 97333.5, 1.79411, 23086
data\OR10x250-0.75_1.dat, 7.56016, 140332, 13.3598, 131528, 131528, 1.80629, 23137
data\OR10x250-0.75_10.dat, 3.11081, 145047, 11.8032, 132034, 132034, 3.44671, 22558
data\OR10x250-0.75_2.dat, 6.55298, 139023, 12.6577, 129941, 129941, 2.5598, 22750
data\OR10x250-0.75_3.dat, 8.27403, 139340, 13.3933, 131563, 131563, 2.02291, 22013
data\OR10x250-0.75_4.dat, 4.17383, 145008, 13.1387, 131442, 131442, 2.72296, 23061
data\OR10x250-0.75_5.dat, 4.57931, 145007, 11.7718, 134077, 134077, 2.96014, 22487
